Session store: /root/.openclaw/agents/main/sessions/sessions.json
Sessions listed: 55
Kind   Key                        Age       Model          Tokens (ctx %)       Flags
direct agent:main:main            1m ago    qwen3.5-plus   95k/131k (73%)       think:minimal system id:a0446c0c-645e-4194-aae1-7d9d33667754
group  agent:main:feish...2c9c39  7h ago    qwen3.5-plus   27k/131k (20%)       system id:9780c95d-2404-4c00-9357-728415e3c906
direct agent:main:cron:...30b663  7d ago    deepseek-reasoner 33k/66k (51%)        system id:bc6e7645-ebae-45d1-9125-22676953d915
direct agent:main:cron:...53d915  7d ago    deepseek-reasoner 33k/66k (51%)        system id:bc6e7645-ebae-45d1-9125-22676953d915
direct agent:main:cron:...cd6bd8  7d ago    deepseek-reasoner 26k/66k (40%)        system id:d0e0e399-e2d4-404f-a14c-498589cd6bd8
direct agent:main:cron:...5f144f  7d ago    deepseek-reasoner 31k/66k (48%)        system id:2651f2ce-c8e8-4d4d-9853-f79c945f144f
direct agent:main:cron:...915f17  7d ago    deepseek-reasoner 23k/66k (35%)        system id:b6cfdfad-cdec-4cbe-af32-c63bd3915f17
direct agent:main:cron:...2a6079  7d ago    deepseek-reasoner 18k/66k (27%)        system id:e9cc1e50-2a0c-47b7-8481-a81b202a6079
direct agent:main:cron:...3b3614  7d ago    deepseek-reasoner 18k/66k (27%)        system id:4434fd0e-a452-4fcd-9e63-465d733b3614
direct agent:main:cron:...5f4ec5  7d ago    deepseek-chat  18k/66k (27%)        system id:5b96ca9f-616b-4ca4-a1bf-a984055f4ec5
direct agent:main:cron:...b5e159  7d ago    deepseek-chat  14k/66k (21%)        system id:0c575c7e-2db1-4350-a0f9-1af067b5e159
direct agent:main:cron:...510148  7d ago    deepseek-chat  19k/66k (28%)        system id:8affe82f-d993-4ef3-ab57-0616f7510148
direct agent:main:cron:...0950c9  7d ago    deepseek-chat  34k/66k (51%)        system id:440a2a7a-3938-41b6-b755-a26b6e0950c9
direct agent:main:cron:...3f691c  7d ago    deepseek-chat  37k/66k (56%)        system id:554bbd72-d64c-4e88-a5fa-29e2793f691c
direct agent:main:cron:...8fe64f  7d ago    deepseek-chat  24k/66k (36%)        system id:8dbfee97-41db-40e2-ad6a-8018a88fe64f
direct agent:main:cron:...6f6aad  7d ago    deepseek-chat  33k/66k (51%)        system id:af28c0c5-acb8-4498-9b76-17fe3c6f6aad
